"BM-V-31","validation","V16: FLANGE without CA8 — INFO (not error, just note)"
"BM-V-32","validation","V17: PCF output with \n instead of \r\n — ERROR"
"BM-V-33","validation","V18: Bore=16 (not in std mm set, ≤48) — WARNING (likely inches)"
"BM-V-34","validation","V18: Bore=400 (in std mm set) — PASS"
"BM-V-35","validation","V19: SUPPORT MESSAGE-SQUARE contains LENGTH token — WARNING"
"BM-V-36","validation","V19: SUPPORT MESSAGE-SQUARE with only RefNo/SeqNo/Name/GUID — PASS"
"BM-V-37","validation","V20: SUPPORT_GUID missing UCI: prefix — ERROR"
"BM-V-38","validation","V20: SUPPORT_GUID with UCI: prefix — PASS"
"BM-V-39","validation","V3: PIPE EP1 bore=350, EP2 bore=350 — PASS (non-reducer, same bore OK)"
"BM-V-40","validation","V14: TEE with SKEY=TEBW — PASS"
"BM-SF-01","smartfix","R-GEO-01: 3mm micro-pipe — DELETE (Tier 1)"
"BM-SF-02","smartfix","R-GEO-01: 10mm pipe — no action (above threshold)"
"BM-SF-03","smartfix","R-GEO-02: Bore 400→350 without reducer — ERROR"
"BM-SF-04","smartfix","R-GEO-03: Pipe with 1mm X-drift on Y-axis run — SNAP (Tier 2)"
"BM-SF-05","smartfix","R-GEO-03: Pipe diagonal 50mm on 2 axes — ERROR"
"BM-SF-06","smartfix","R-GEO-07: Flange with EP1=EP2 (zero length) — ERROR"
"BM-SF-07","smartfix","R-CHN-01: Pipe changes Y→Z axis without bend — ERROR"
"BM-SF-08","smartfix","R-CHN-02: 5mm fold-back pipe (reverses Y direction) — DELETE (Tier 2)"
"BM-SF-09","smartfix","R-CHN-02: 50mm fold-back pipe — ERROR (too large to auto-delete)"
"BM-SF-10","smartfix","R-CHN-03: Two bends with no pipe between — WARNING"
"BM-SF-14","smartfix","R-GAP-01: 0.3mm micro-gap between elements — SNAP (Tier 1)"
"BM-SF-15","smartfix","R-GAP-02: 15mm axial gap along Y-South — INSERT pipe (Tier 2)"
"BM-SF-22","smartfix","R-OVR-01: 10mm pipe-pipe overlap — TRIM (Tier 2)"
"BM-SF-25","smartfix","R-OVR-03: Flange-flange overlap — ERROR (rigid-on-rigid)"
"BM-SF-27","smartfix","R-BRN-01: TEE branch bore (500) exceeds header bore (400) — ERROR"
"BM-SF-32","smartfix","R-TOP-02: Disconnected element (>25mm from any chain) — ERROR"
"BM-SF-40","smartfix","R-GAP-08: Verify inserted gap-fill element is PIPE, not a fitting"
"BM-PTE-01","pte","R-PTE-05: BRAN Pt=1 is chain start — not a physical component"
"BM-PTE-02","pte","R-PTE-07: 3mm gasket skipped (< 6mm threshold)"
"BM-PTE-03","pte","R-PTE-07: 8mm gasket converted to short pipe (≥ 6mm)"
"BM-PTE-04","pte","R-PTE-06: ANCI creates SUPPORT + implicit pipe on each side"
"BM-PTE-07","pte","R-PTE-02: TEE with Pt=1,3,0,2 assembles into EP1/BP/CP/EP2"
"BM-PTE-08","pte","R-PTE-20: Branch BRAN starts at TEE CP (NodeNo=40 matches). BRLEN subtracted from gap."
"BM-PTE-09","pte","R-PTE-21: OLET EP1=EP2=CP — zero length on header"
"BM-PTE-11","pte","R-PTE-29: PCOM type maps to PIPE"
"BM-PTE-12","pte","R-PTE-11: Bore='400mm' → parsed as 400"
"BM-PTE-13","pte","R-PTE-11: Bore='16in' → parsed as 406.4mm"
"BM-PTE-14","pte","R-PTE-12: East→X, North→Y, Up→Z mapping"
"BM-PTE-27","pte","PPoint: Mating flange detected — PPoint inverted"
"BM-PTE-30","pte","BEND CP: 90° bend from Z-Up to X-West — CP at corner intersection"
"BM-PCF-01","pcf_gen","PCF output: Single PIPE element with correct format"
"BM-PCF-02","pcf_gen","PCF output: FLANGE with <SKEY> (angle brackets)"
"BM-PCF-03","pcf_gen","PCF output: SUPPORT with CO-ORDS bore=0, no CAs, UCI: prefix"
"BM-PCF-05","pcf_gen","PCF output: OLET with only CP+BP, no END-POINTs"
"BM-PCF-07","pcf_gen","PCF output: All coords AND bore at 4-decimal"
"BM-PCF-12","pcf_gen","Round-trip: Export PCF → re-import → compare Data Table"
"BM-SF-41","smartfix","R-SPA-02: 5 pipes on Y-axis, one has X drifted 0.8mm"
"BM-SF-42","smartfix","R-SPA-02: 5 pipes on Y-axis, one has X drifted 5mm"
"BM-SF-43","smartfix","R-SPA-02: 5 pipes on Y-axis, one has X drifted 15mm"
"BM-SF-44","smartfix","R-TOP-02: 3 pipes connected + 1 at (50000,50000,50000)"
"BM-SF-45","smartfix","R-SPA-01: Horizontal Y-run, one Z drifts 1.5mm"
"BM-SF-46","smartfix","R-SPA-01: Horizontal Y-run, one Z drifts 8mm"
"BM-SF-47","smartfix","R-TOP-03: Two identical PIPE elements at same coords"
"BM-SF-48","smartfix","R-OVR-05: Pipe overlaps TEE by half-C"
"BM-SF-49","smartfix","R-OVR-05: Pipe overlaps TEE by 30mm"
"BM-SF-50","smartfix","R-BRN-05 / R-TOP-02: TEE BP gap to branch EP1 triggers orphan instead of branch error"
"BM-SF-51","smartfix","R-GEO-08: Element with coordinate 600000mm"
"BM-SF-52","smartfix","R-BRN-04: TEE branch 3 deg from perpendicular"
"BM-SF-53","smartfix","R-BRN-04: TEE branch 12 deg from perpendicular"
"BM-SF-54","smartfix","R-CHN-06: 1.2mm Y-drift on X-axis pipe"
"BM-SF-55","smartfix","R-CHN-06: 7mm Y-drift on X-axis pipe"
